Scopus - Author details

,
,

"Author Name","Auth-ID","Number of Documents","Subject Area","Orc_ID"

"Ahmadi, Rezgar","37260927500","12","Chemistry
Chemical Engineering
Energy
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Materials Science
Multidisciplinary
Medicine
","0000-0002-5728-5831"
"Mortezaei, Y.","57196327812","1","Environmental Science
Engineering
Chemical Engineering
"
"Mahmoudi, Peyman","57225986995","1","Agricultural and Biological Sciences
Veterinary
Biochemistry, Genetics and Molecular Biology
"
"Ghahramany, Loghman","57188921659","5","Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Environmental Science
","0000-0002-3721-8084"
"Mohammadi, Soosan","57195299603","1","Agricultural and Biological Sciences
"
"Nili, Omid","57223245934","1","Multidisciplinary
"
"Yamin Moshrefi, Goran","57215498947","1","Agricultural and Biological Sciences
"
"Moradi, Shadi","57218658656","1","Agricultural and Biological Sciences
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
"
"Moeini, Nazanin","56695135500","8","Chemistry
Materials Science
Physics and Astronomy
"
"Jah, Javad Ravan Jam","56097086100","1","Computer Science
"
"Baigzadehnoe, Barmak","57195328257","6","Computer Science
Engineering
Physics and Astronomy
Mathematics
Neuroscience
","0000-0003-0295-7415"
"Bashiri, Samaneh","57215381662","3","Pharmacology, Toxicology and Pharmaceutics
Chemistry
Biochemistry, Genetics and Molecular Biology
Environmental Science
Agricultural and Biological Sciences
Medicine
"
"Ardalani, Mohammad Ali","55315173500","7","Mathematics
"
"Hamidi, Barzan","56346157800","1","Materials Science
Chemistry
"
"Zar, Fardin Ahmadi","55913079100","1","Engineering
"
"Gharloghi, Atefeh","57208282334","2","Chemistry
Physics and Astronomy
Materials Science
Energy
Chemical Engineering
Environmental Science
"
"Rajabi, Erfan","57218609489","1","Arts and Humanities
","0000-0001-7811-4671"
"Nadimi, Shahab","57210587407","1","Arts and Humanities
"
"Shahmaleki, Parmis","34870457000","2","Mathematics
Engineering
"
"Najafi, T.","56619191800","2","Physics and Astronomy
Mathematics
Earth and Planetary Sciences
"
"Reisi, Manijeh","57193127882","1","Computer Science
"
"Narimani, Mozhdeh","57189589185","1","Chemistry
Chemical Engineering
"
"Gharibi, Fereshteh","36188132300","4","Engineering
Computer Science
"
"Amiri, S.","36442286200","3","Physics and Astronomy
Earth and Planetary Sciences
"
"Kazemi, Rojin","57203864252","1","Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
"
"Shafiee, Gh","36027168900","1","Engineering
"
"Adeldust, Hamideh M.","55974343300","8","Agricultural and Biological Sciences
Veterinary
Biochemistry, Genetics and Molecular Biology
Medicine
Immunology and Microbiology
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
"
"Sabaa, M. Koushesh","57226541350","1","Agricultural and Biological Sciences
"
"Mardeh, Adel Siose","57217218641","1","Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
"
"Falahipour, Elham","57208390803","1","Biochemistry, Genetics and Molecular Biology
"
"Marahel, Arash","54882387300","2","Chemical Engineering
Chemistry
Biochemistry, Genetics and Molecular Biology
"
"Fadaee, Behrooz","57202456067","6","Mathematics
"
"Shariati, Parvin","56465843000","1","Agricultural and Biological Sciences
"
"Mohammad Rahimi, Sanaz","57218327866","1","Agricultural and Biological Sciences
Veterinary
"
"Akhlaghian Tab, Fardin","53363131600","11","Computer Science
Engineering
Agricultural and Biological Sciences
Mathematics
Decision Sciences
","0000-0002-0300-9233"
"Heidarizadeh, L.","57216584806","1","Mathematics
"
"Rafinia, Ali","55320317500","5","Engineering
Energy
Social Sciences
Environmental Science
"
"Shahoei, S.","35305654300","1","Agricultural and Biological Sciences
"
"Orooji, Fatemeh","57219895937","2","Agricultural and Biological Sciences
Multidisciplinary
"
"Khaledi, Valeh","57218601772","1","Earth and Planetary Sciences
Engineering
"
"Parvini, Neda","57191586233","1","Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
"
"Farughi, Hiva","54789623500","34","Engineering
Computer Science
Decision Sciences
Business, Management and Accounting
Mathematics
Economics, Econometrics and Finance
Multidisciplinary
Medicine
Physics and Astronomy
Materials Science
Social Sciences
Chemistry
","0000-0001-9745-9691"
"Amani, Afshin","57193572370","3","Environmental Science
Chemical Engineering
Energy
Biochemistry, Genetics and Molecular Biology
Engineering
"
"Ezati, Saeid","57193357524","1","Environmental Science
"
"Sohrabi, Ahmad","29567584600","6","Medicine
Neuroscience
Biochemistry, Genetics and Molecular Biology
","0000-0001-5941-4521"
"Showkati, Alan","56534305700","5","Earth and Planetary Sciences
Engineering
Materials Science
"
"Laleh, Mohammad Seifi","57195959125","4","Engineering
Physics and Astronomy
Chemistry
Materials Science
"
"Moradi, Parinaz","24477573000","2","Chemistry
"
"Karimi, Shahram","36975632500","1","Agricultural and Biological Sciences
"
"Davari, Masoud","56506863800","9","Environmental Science
Agricultural and Biological Sciences
Earth and Planetary Sciences
","0000-0001-8066-690X"
"Dolatpanah, M. B.","23970035300","1","Agricultural and Biological Sciences
"
"Shahsavani, Hashem","36653243900","11","Earth and Planetary Sciences
Engineering
Computer Science
"
"Azizi, Osman","16400976500","12","Agricultural and Biological Sciences
Veterinary
Biochemistry, Genetics and Molecular Biology
","0000-0002-1552-6940"
"Ghawami, Fouad","57193905659","1","Engineering
"
"Rezvani, Vahid","36118278200","4","Agricultural and Biological Sciences
Physics and Astronomy
Earth and Planetary Sciences
Environmental Science
Engineering
"
"Hajiahmadi, Delnia","57203823927","1","Environmental Science
"
"Ghaderi, Somayeh","57218546806","2","Engineering
Physics and Astronomy
Materials Science
"
"Labani, Mahdieh","57200142527","3","Computer Science
Engineering
"
"Sattary, Maryam","57218692312","1","Agricultural and Biological Sciences
Environmental Science
"
"Vakili, Taleb","57211921577","1","Engineering
Energy
Business, Management and Accounting
Environmental Science
"
"Banei, Siamak","57218509665","3","Mathematics
"
"Habibi, Kyoumars","24066918900","19","Environmental Science
Engineering
Social Sciences
Energy
Earth and Planetary Sciences
Agricultural and Biological Sciences
Mathematics
Multidisciplinary
Arts and Humanities
Medicine
Computer Science
","0000-0001-5492-8259"
"Masoum, Hero Ghasemi","57295493000","1","Engineering
Chemistry
Chemical Engineering
"
"Yazdani, A.","7004218797","45","Engineering
Earth and Planetary Sciences
Computer Science
Materials Science
Physics and Astronomy
Environmental Science
Chemistry
Agricultural and Biological Sciences
","0000-0002-4520-5304"
"Fathi, Mohammad Taghi","24780653400","34","Computer Science
Engineering
Energy
Mathematics
Physics and Astronomy
Materials Science
Neuroscience
Decision Sciences
","0000-0002-4579-4102"
"Shahryari, Mobin","57219342636","1","Engineering
"
"Gholamireza, Afsaneh","36518890600","1","Physics and Astronomy
Materials Science
Chemistry
"
"Alaqeband, Basir","57095968100","2","Computer Science
"
"Mirghaed, Sahar Rezaei","57211599497","2","Medicine
"
"Ahmadi Mirghaed, Fazlolah","57204272152","7","Environmental Science
Earth and Planetary Sciences
Agricultural and Biological Sciences
Economics, Econometrics and Finance
Social Sciences
Decision Sciences
","0000-0003-0123-4258"
"Kaboodvandpour, Shahram","17135001200","16","Environmental Science
Agricultural and Biological Sciences
Earth and Planetary Sciences
Medicine
Chemistry
","0000-0002-0160-1612"
"Nazavari, N.","57189688734","2","Physics and Astronomy
Earth and Planetary Sciences
"
"Hakimi, Ahmad","57310244100","1","Decision Sciences
Engineering
Business, Management and Accounting
"
"Benvari, B.","54986410500","1","Mathematics
"
"Zandi, Sara","57226119968","2","Chemistry
Chemical Engineering
"
"Nazemi-Rafie, Javad","23025958300","9","Agricultural and Biological Sciences
","0000-0003-1898-2308"
"Rahimi, Mohammad Rahman","57205127155","5","Medicine
Agricultural and Biological Sciences
Nursing
"
"Ghaderi, Samaneh","57193948134","1","Computer Science
Physics and Astronomy
Engineering
Neuroscience
"
"Rostami, Amin","57426679800","1","Chemistry
Chemical Engineering
"
"Ghoreishy, Nadya","57208258445","1","Chemical Engineering
Chemistry
"
"Ghobadi, Zainab","52163585600","2","Agricultural and Biological Sciences
Veterinary
"
"Safi, Zahra","57195837927","1","Economics, Econometrics and Finance
Business, Management and Accounting
"
"Vafaie, S.","57419763500","1","Engineering
Computer Science
"
"Mohammadi, Farzad","57291434900","1","Agricultural and Biological Sciences
Earth and Planetary Sciences
"
"Ghaderi, Eghbal","55657241900","5","Mathematics
Physics and Astronomy
","0000-0002-8547-0081"
"Rahimi, G.","57213815357","2","Chemistry
Chemical Engineering
"
"Vahed, Meisam","57202790049","1","Engineering
"
"Khaledian, M. S.","56705141600","5","Physics and Astronomy
Mathematics
Earth and Planetary Sciences
"
"Ataee, Sirwan","56725625000","3","Engineering
Mathematics
Energy
Computer Science
"
"Solbi, Milad","57195052033","5","Physics and Astronomy
Earth and Planetary Sciences
Engineering
"
"Mihemmedi, Yasin","57210358613","1","Engineering
Mathematics
Energy
Computer Science
"
"Azimi, Nahid","57217630236","1","Chemistry
"
"Ahookhosh, Kaveh","57224827000","1","Engineering
Energy
"
"Kazemi, Tahmineh","57194521224","1","Earth and Planetary Sciences
"
"Khoshkhoo, Younes","37072627500","2","Earth and Planetary Sciences
","0000-0001-5353-8945"
"Mousivand, M.","55580902100","2","Physics and Astronomy
Mathematics
Earth and Planetary Sciences
"
"Farhadi, Parvin","57194042807","1","Engineering
Computer Science
"
"Ahmadian, Samira","57130452700","1","Agricultural and Biological Sciences
"
"Babamiri, Bahareh","56005931900","19","Chemistry
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Engineering
Materials Science
Chemical Engineering
Environmental Science
"
"Shaabani, Homayoun","57190494867","1","Engineering
Computer Science
","0000-0002-2628-4625"
"Derakhshan, Ehsan","57202391434","2","Energy
"
"Shariati, Omid","57210262088","1","Social Sciences
"
"Ranjbar, Sakineh","57203843352","1","Engineering
Energy
Business, Management and Accounting
Environmental Science
"
"Salimi, Mohammad Rashid","57202737890","3","Engineering
Materials Science
","0000-0002-8724-3835"
"Baghlani, Masoomeh","53663270600","3","Chemistry
Physics and Astronomy
Materials Science
Chemical Engineering
","0000-0003-1445-4751"
"Azizi, Abdolbaset","57215415720","14","Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Environmental Science
Immunology and Microbiology
Multidisciplinary
Medicine
"
"Saffari, Hooman","57212912481","1","Engineering
Materials Science
"
"Ghadermazi, Mohammad","17345456400","167","Chemistry
Physics and Astronomy
Materials Science
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Engineering
Environmental Science
Multidisciplinary
","0000-0001-8631-6361"
"Askari, Fatemeh","57223307066","2","Environmental Science
Immunology and Microbiology
Social Sciences
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Engineering
Chemistry
"
"Akhlaqian Tab, Fardin","35184941200","1","Mathematics
Computer Science
","0000-0002-0300-9233"
"Moshrefi, Goran Yamin","36682926900","1","Agricultural and Biological Sciences
"
