Scopus - Author details

,
,

"Author Name","Auth-ID","Number of Documents","Subject Area","Orc_ID"

"Hosseini, Mahsa Sadat","55858777800","4","Medicine
"
"Tamadon, Ronak","55255177000","2","Medicine
"
"Saloor, Masoud","16424848800","2","Medicine
"
"Baghizadeh, Ayeh","57193062366","1","Medicine
"
"Seyf, Shima","36239575600","1","Medicine
"
"Aidenlou, Salavan","56019378400","1","Medicine
"
"Karbasi, Mehrdad","57204840895","1","Medicine
"
"Shokouhi, Shokoufeh Baradaran","57190067786","1","Medicine
"
"Hakimi, Seyed Shahin","36113584700","3","Medicine
"
"Reza Nadji, Seyed","57219298856","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Negad, Leila Salimi","36802607800","1","Medicine
"
"Tabatabaei, Seyed Javad","22941835200","1","Medicine
"
"Bagheri, Mohammad","8856642000","1","Medicine
"
"Kamran, Jaber","15042395000","1","Medicine
"
"Poorabdollah, Mihan","57414149500","1","Medicine
"
"Baghael, Parvaneh","36112617100","1","Medicine
"
"Mirabolhasani, Zahra","6504160191","1","Medicine
"
"Mohammadi, Foroozan","35618870900","58","Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Earth and Planetary Sciences
Health Professions
","0000-0002-3774-5650"
"Sanaat, Mohammad","57289867800","1","Medicine
"
"Ghoroghi, Azadeh","55699116900","1","Medicine
"
"Tavakkol, Elham","57191974544","3","Medicine
Materials Science
Engineering
Physics and Astronomy
Computer Science
"
"Ahmadi, Farzane","36467863300","20","Medicine
Biochemistry, Genetics and Molecular Biology
Psychology
Social Sciences
Mathematics
Decision Sciences
","0000-0001-8609-1860"
"Hoseini, Mahsa Sadat","57225347519","1","Medicine
"
"Tavakol, Elham","57204839267","1","Medicine
"
"Ghazisaeedi, Kumarze","6508152370","2","Immunology and Microbiology
Medicine
"
"Mostofi, Ali Naser","36114709100","1","Medicine
"
"Sadat Hosseini, Mahsa","55699964900","1","Medicine
"
"Aghahosseini, Farahnaz","57191537624","7","Medicine
"
"Hashemian, Reza","57204755917","1","Medicine
"
"Maleki, Shiva Ehsan","57196176121","2","Medicine
Immunology and Microbiology
"
"Mehrain, Payam","57204840803","1","Medicine
"
"Jafarzadeh, Hamid","56592449400","1","Medicine
"
"Bahadori, Katayoon","6603591001","1","Medicine
Immunology and Microbiology
"
"Tabatabee, D. J.","6504077694","1","Medicine
Immunology and Microbiology
"
"Rahimzadeh Kalaleh, Azam","57202462460","1","Medicine
"
"Aghdam, Karim Rahimi","57208402608","2","Medicine
Immunology and Microbiology
"
"Sadeghi, Mohammadhadi","57224085245","1","Medicine
Immunology and Microbiology
"
"Kheiridoust, Fateme","57223138325","1","Medicine
"
"Emami, Sepideh","57219085246","3","Medicine
Pharmacology, Toxicology and Pharmaceutics
","0000-0002-1512-8053"
"Zahedi-Nejad, Nina","6503913814","3","Medicine
"
"Sheikholslami, Mariam","56625205400","1","Medicine
Pharmacology, Toxicology and Pharmaceutics
"
"Seif, Shima","56439298400","14","Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Agricultural and Biological Sciences
"
"Eslampanah, Shabnam","16244912400","4","Medicine
","0000-0003-3748-4347"
"Hakimi, Seyed Mohammad","36942189900","1","Medicine
"
"Azadi, Amir","57190274191","1","Medicine
"
"Akhavan-Azari, P.","15828881600","1","Medicine
"
"Sanaee, Davood","56218211700","1","Medicine
"
"Aghajani, Jafar","57188991890","8","Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
","0000-0003-1363-2018"
"Sadegh, Abdolreza","57218702750","1","Medicine
"
"Khosravani, Hassan","36113728900","1","Medicine
"
"Nejad, Sabereh Tashayoie","57226003185","1","Medicine
"
"Sheikholeslami, Fatemeh Maryam","57204727852","3","Medicine
Immunology and Microbiology
"
"Rezaiian, Lida","57191828188","1","Medicine
"
"Zadeh, Mohammad Reza Lashakri","36115948200","1","Medicine
"
"Zia Zarifi, Abolhasan","6505688874","1","Medicine
Immunology and Microbiology
"
"Mohebi-Nejad, Azin","55567407100","8","Medicine
"
"Alizadeh, Niloufar","57212648524","3","Medicine
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
","0000-0001-8836-5431"
"Kabarei, Ali Naghee","35310632800","1","Medicine
Pharmacology, Toxicology and Pharmaceutics
"
"Momeni, Payam","57200121661","1","Medicine
"
"Peivareh, Hamideh","56330151600","1","Medicine
"
"Fadaeizadeh, Lida","57222058447","1","Pharmacology, Toxicology and Pharmaceutics
"
"Etaati, Zohreh","36113329700","1","Medicine
"
"Edrissian, O.","16028391900","1","Medicine
"
"Naderi, Hadi","56399215700","1","Medicine
"
"Heydarian Fard, Elaheh","55838941200","1","Medicine
"
"Tabatabee, Javad","6507918454","3","Immunology and Microbiology
Medicine
"
"Zahirifard, Soheila","23996054400","9","Medicine
Immunology and Microbiology
"
"Razavi, Seyed Jafar","56218300900","1","Medicine
"
"Heshmat Nia, Jalal","57192077584","1","Medicine
"
"Enayat, Javad","55193445600","3","Medicine
Immunology and Microbiology
"
"Dehghani, Zahra","57205500615","1","Medicine
"
"Shirazi, Jafar Razavi","57223437861","1","Medicine
Pharmacology, Toxicology and Pharmaceutics
"
"Sharifkashani, Sara","57217909357","1","Medicine
"
"Derakhshan, Kourosh Fakhimi","57209409266","1","Biochemistry, Genetics and Molecular Biology
Neuroscience
"
"Kermany, Khadijeh Riazi","57191168462","1","Medicine
"
"Boloursaz, Maryam R.","57188537675","3","Medicine
"
"Kiani Amin, F.","8156151700","1","Medicine
"
"Aryanpour, Mahshid","36118721300","2","Medicine
","0000-0002-9257-5148"
"Javadi, Alireza","56556231200","8","Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
"
"Poosashkan, Leila","57200122368","1","Medicine
"
"Vaezi, Fatemeh","57204506732","1","Medicine
"
"Hassani, Somayeh","56553796400","7","Medicine
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
"
"Varahram, Fatemeh","34769352400","2","Medicine
Pharmacology, Toxicology and Pharmaceutics
"
"Khodayari, Amir Ali","26027879200","5","Medicine
"
"Fallah-Tafti, Saeid","25227811100","35","Medicine
Nursing
Pharmacology, Toxicology and Pharmaceutics
Mathematics
Immunology and Microbiology
Engineering
Psychology
Social Sciences
Multidisciplinary
"
"Aghili, Nima","57039876700","2","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Toolabi, Masoumeh","56218180500","1","Medicine
"
"Shamshirsaz, Amir Houshang Abdollah","57214300472","1","Medicine
"
"Razavi, Jafar","56072090200","2","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Taheri, Mohammad Jafar","57204903722","2","Medicine
"
"Hashemi, Saeed","57327790400","1","Medicine
"
"Kashani, Babak Sharif","57437792300","2","Medicine
"
"Mir-Afsharieh, Seyed Abbas","36114560100","1","Medicine
"
"Radm, Golnar","55699909300","1","Medicine
"
"Nasiri, B.","55586112200","1","Medicine
Immunology and Microbiology
"
"Soheyla-Zahirifard","8581060900","1","Medicine
"
"Aidanlou, Savalan","57195456372","1","Medicine
"
"Ebrahimi, Mazaher","56217825200","1","Medicine
"
"Arianpoor, H.","15836810400","1","Agricultural and Biological Sciences
"
"Kiani, A.","57214530355","1","Multidisciplinary
"
"Khalilzade, Soheila","36501820000","1","Medicine
"
"Hakeeme, S. S.","22957678900","1","Medicine
"
