Scopus - Author details

,
,

"Author Name","Auth-ID","Number of Documents","Subject Area","Orc_ID"

"Ranjbar Vakilabadi, Dariush","57194027690","11","Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Engineering
Medicine
Dentistry
Multidisciplinary
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Chemistry
","0000-0001-7609-729X"
"Darabi, Yalda","56891487000","1","Medicine
"
"Yousefi, Farzaneh","56519783800","3","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Nazarian, R.","57226255698","1","Medicine
Nursing
"
"Tabatabayi, Keyvan","57225072802","1","Medicine
"
"Mohammadi, Seyyedeh Zahra","57326968000","1","Medicine
"
"Azizzadeh, Entegham","57201737087","1","Medicine
"
"Sara, Kalani","57193997327","1","Pharmacology, Toxicology and Pharmaceutics
"
"Dobaradaran, Sina","24334469800","157","Environmental Science
Medicine
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Chemistry
Agricultural and Biological Sciences
Dentistry
Engineering
Multidisciplinary
Immunology and Microbiology
Earth and Planetary Sciences
Chemical Engineering
Materials Science
Physics and Astronomy
Social Sciences
Energy
Nursing
Health Professions
","0000-0002-8857-7343"
"Salari, Hedayat","55508243600","11","Medicine
Social Sciences
Nursing
Environmental Science
Health Professions
Economics, Econometrics and Finance
","0000-0002-3410-5340"
"Hayati, Roughayeh","57117914500","2","Environmental Science
Medicine
Social Sciences
"
"Salekzamani, Shabnam","37061927900","14","Medicine
Biochemistry, Genetics and Molecular Biology
Nursing
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
"
"Shahryari, Houshang","55523444700","2","Medicine
"
"Haraghy, Mehrnoosh","55043258500","1","Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
"
"Nemati, Reza","57221506441","7","Medicine
Environmental Science
Nursing
Biochemistry, Genetics and Molecular Biology
"
"Sanjdideh, Zahra","15726370300","14","Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Nursing
Agricultural and Biological Sciences
"
"Mosadeghzadeh, Shiva","25936573000","2","Medicine
Immunology and Microbiology
"
"Zamanizadeh, Bijan","56631177200","6","Medicine
"
"Dashdebi, Kamel Ghobadi","57113755000","2","Medicine
Biochemistry, Genetics and Molecular Biology
","0000-0002-0955-9201"
"Pouyan, M.","39161877300","1","Medicine
"
