Scopus - Author details

,
,

"Author Name","Auth-ID","Number of Documents","Subject Area","Orc_ID"

"Kelishadi, Mishar","56337080100","6","Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Engineering
"
"Livani, Fatemeh","55696351800","9","Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
","0000-0002-5973-7280"
"Rajaie, Siamak","26967957200","6","Medicine
Biochemistry, Genetics and Molecular Biology
","0000-0003-4392-1697"
"AsgharAyatollahi, Ali","55889554200","1","Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
","0000-0003-4591-4909"
"Naeeme, Javid S.","57202091176","1","Medicine
Immunology and Microbiology
"
"Mohajery, Hassan","57211294769","1","Agricultural and Biological Sciences
"
"Majnooni, Fatemeh","57211558967","1"
"Monajati, Mahila","57199330707","6","Medicine
Biochemistry, Genetics and Molecular Biology
Earth and Planetary Sciences
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
","0000-0003-4401-4191"
"Haidari, Kamran","23489078000","13","Medicine
Biochemistry, Genetics and Molecular Biology
Neuroscience
Immunology and Microbiology
Materials Science
Agricultural and Biological Sciences
","0000-0003-4347-5412"
"Mirfazeli, Arezoo","17343961400","10","Medicine
Dentistry
","0000-0003-4169-550X"
"Ghanbari, M. R.","57191576413","3","Medicine
Immunology and Microbiology
","0000-0003-2618-9502"
"Razaghi, Nazanin","57281179000","1","Medicine
"
"Sheykholeslami, Amene Sadat","57204160104","1","Medicine
"
"Hosseini, Zahra Sadat","57200987265","1","Dentistry
"
"Zeynali, Parisa","57223984044","2","Biochemistry, Genetics and Molecular Biology
Medicine
"
"Chehrehgosha, M.","57196484227","3","Medicine
"
"Mehdinejad, Mohammad Hadi","35299760500","15","Environmental Science
Engineering
Agricultural and Biological Sciences
Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Chemistry
","0000-0001-6298-7144"
"Shabatkhori, M.","54413180400","1","Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Medicine
"
"Golmohammadi, Reza","57196462656","2","Medicine
Immunology and Microbiology
"
"Aghapour, Seyed Ali","57193952436","2","Medicine
Immunology and Microbiology
","0000-0002-8320-3414"
"Nezhad, Mahdieh Margdari","56355104900","1","Medicine
"
"Majidi, Hananeh","57395169600","1","Health Professions
"
"Fakhr, Satee","57236394700","1","Social Sciences
"
"Torkjazi, Reza","54793490500","1","Medicine
"
"Eshkevarlaji, Sepideh","57212173646","1","Medicine
"
"Vafaeian, Fatemeh","56544701300","1","Medicine
"
"Homapour, Saba","56957232000","1","Medicine
"
"Samadizadeh, Saeed","57210449746","6","Medicine
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Neuroscience
"
"Bakhshi, Tahereh","57204660088","3","Medicine
"
"Mirtorabi, Maryam Sadat","57331212500","1","Medicine
"
"Mirmohammadi, S.","57220591162","1","Medicine
Immunology and Microbiology
"
"Hasheminejad, Reyhaneh","55859493100","4","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Vizvari, Parvin","56755460400","1","Medicine
"
"Tadayoni Nia, Amin","57223663050","1","Neuroscience
"
"Sedaghat, M.","57382005100","1","Medicine
"
"Moradi, Abdolvahab","56218944000","107","Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
Chemistry
Multidisciplinary
Engineering
Health Professions
Veterinary
Materials Science
Chemical Engineering
Social Sciences
Neuroscience
","0000-0003-2877-4190"
"Poursharifi, Nahid","57224566369","2","Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
"
"Koochaki, Maryam","57196705955","2","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Rajaii, Maryam","56573001500","1","Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
"
"Hosseinpoor, Reza","57205737118","3","Medicine
Biochemistry, Genetics and Molecular Biology
Health Professions
"
"Kelarijani, Fatemeh Nejadi","55355312900","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Hosseini, Seyyede Delafruz","57205386606","1","Medicine
Immunology and Microbiology
"
"Ebadpour, Mohammad Reza","57194533867","1","Medicine
"
"Modanloo, Mahnaz","56957155500","19","Medicine
Nursing
Neuroscience
Social Sciences
Biochemistry, Genetics and Molecular Biology
Psychology
","0000-0001-8801-6653"
"Rahmati, Mina","57303255700","3","Medicine
Biochemistry, Genetics and Molecular Biology
Health Professions
"
"Hasani, Mahsa","57209414302","2","Pharmacology, Toxicology and Pharmaceutics
"
"Baei, Basireh","57274059000","1","Immunology and Microbiology
"
"Hosseini, Seyedeh Fatemeh","57223868391","1","Agricultural and Biological Sciences
Nursing
"
"Bakhshandeh Nosrat, Sepideh","36480944600","11","Medicine
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
","0000-0002-7026-3784"
"Morovvati, Ziba","53865339100","5","Biochemistry, Genetics and Molecular Biology
Medicine
"
"Ahmadpoor, Rahmatollah","57210357514","1","Medicine
"
"Rahimian, M.","36629151700","1","Pharmacology, Toxicology and Pharmaceutics
"
"Kianmehr, Anvarsadat","55917548700","23","Biochemistry, Genetics and Molecular Biology
Medicine
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Chemical Engineering
Environmental Science
Engineering
Energy
","0000-0001-5604-1870"
"Montazery, Maryam","57197714037","1","Medicine
"
"Fazlekhoda, Morteza","57211384319","1","Medicine
"
"Yousefi-Telori, Batool","55209936500","1","Agricultural and Biological Sciences
Environmental Science
"
"Manglizadeh, Elmira","57214822781","1","Medicine
"
"Shirangi, Seyedpayam","57200438138","1","Medicine
"
"Mozaffari, Davood","15074055200","1","Medicine
Biochemistry, Genetics and Molecular Biology
","0000-0002-2991-4477"
"Alizadeh, Behruz","56806554800","1","Medicine
"
"Seid-Hosseini, Fatemeh","55746675400","1","Medicine
"
"Erfani-Moghadam, Vahid","56436634900","13","Chemistry
Biochemistry, Genetics and Molecular Biology
Materials Science
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Physics and Astronomy
Immunology and Microbiology
Engineering
Medicine
Agricultural and Biological Sciences
","0000-0002-6723-5766"
"Ghareghol, Halimeh","57395204700","1","Medicine
Social Sciences
"
"Seyyedghasemi, Navisasadat","57194795593","2","Medicine
"
"Keshavarz, Behzad","57197719956","1","Medicine
","0000-0002-8063-1181"
"Abbaspour Sani, Neda","57209415643","1","Pharmacology, Toxicology and Pharmaceutics
"
"Ariannia, Ali","57214930819","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Mansour Samaei, Nader","36775590100","24","Biochemistry, Genetics and Molecular Biology
Medicine
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
Health Professions
Dentistry
","0000-0002-1317-366X"
"Hosseini, Seyed Abedin","57210906501","5","Nursing
Multidisciplinary
Neuroscience
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Medicine
"
"Mojeni, Mohammad Taghi","56741428200","1","Medicine
Nursing
"
"Lamraski, Maryam Bagheryan","55179350200","1","Multidisciplinary
"
"Roshanmir, Azam","57191430851","1","Medicine
"
"Sarani, Moslem","56514045500","7","Medicine
Immunology and Microbiology
Health Professions
Biochemistry, Genetics and Molecular Biology
","0000-0002-2953-4503"
"Noorafkan, Z.","56650951700","2","Medicine
"
"Samei, Mahdieh","57216636369","1","Biochemistry, Genetics and Molecular Biology
"
"Hashemian, Shervin Sadat","57195239105","2","Medicine
Nursing
Social Sciences
"
"Shariatnezhad, Sepideh","56573009200","2","Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
"
"Tabibi, Mohammad Naeemi","56806847100","1","Medicine
"
"Meherkash, Mehyar","56001523600","1","Medicine
"
"Arab, Sahar","57199179793","1","Medicine
","0000-0001-8320-1876"
"Sheikh Arabi, Mehdi","36471073900","20","Biochemistry, Genetics and Molecular Biology
Chemistry
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Environmental Science
Engineering
Materials Science
","0000-0002-0458-9436"
"Tomaj, Ome Kolsoum","57188874305","1","Medicine
"
"Ghiyas Tabari, Robabeh","55213307600","4","Multidisciplinary
Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
"
"Abdolmaleki, Sara","57188677195","4","Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Health Professions
"
"Hasanpour, Susan","57200188986","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Azhir, Maryam","57397099900","1","Medicine
Neuroscience
Biochemistry, Genetics and Molecular Biology
"
"Moradi-Azani, Mahnaz","36731214400","1","Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Neuroscience
"
"Hosseini, Seyed Hossein","57195317313","1","Medicine
"
"Sadegh-Sheshpoli, Maryam","57195237170","1","Medicine
Immunology and Microbiology
"
"Gorzin, Marzieh","57192640512","1","Medicine
"
"Niknajad, F.","37099095700","1","Medicine
"
"Ahmadnia, Ali","57216225331","4","Medicine
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
"
"Chogan, A. G.","55375776600","1","Medicine
"
"Banikarim, Seyedamir","55655819000","1","Medicine
"
"Alaee, Ehsan","8393723100","27","Medicine
Biochemistry, Genetics and Molecular Biology
Chemistry
Chemical Engineering
","0000-0002-7263-557X"
"Saadat, Samaneh","56806546100","3","Medicine
"
"Rohani, Davood","55775676900","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Azadehrah, Mahboobeh","56074056600","3","Medicine
Biochemistry, Genetics and Molecular Biology
","0000-0001-7280-4735"
"Mogharrabi, Mehdi","36009012800","17","Medicine
Health Professions
Nursing
Social Sciences
"
"Fallah, Mahnaz Shafaei","57223411588","1","Medicine
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Immunology and Microbiology
"
"Ghourchaei, Araz","20734029200","2","Agricultural and Biological Sciences
Medicine
Environmental Science
","0000-0003-1461-8701"
"Amouian, Sepideh","55877010100","4","Medicine
Biochemistry, Genetics and Molecular Biology
Neuroscience
"
"Shahryari, Ali","56840611300","15","Environmental Science
Engineering
Medicine
Earth and Planetary Sciences
Immunology and Microbiology
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Computer Science
","0000-0002-5495-7372"
"Zafarzadeh, Ali","41462246800","15","Environmental Science
Medicine
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Engineering
Chemistry
Pharmacology, Toxicology and Pharmaceutics
","0000-0002-9980-8098"
"Pirayvatlou, Peyman Sanjari","57200968772","1","Medicine
"
"Moghassemi, Mohammad Javad","56769977200","1","Medicine
"
"Rezayi Cherati, Fatemeh","57226268791","1","Medicine
"
"Ghandian Zanjan, Maziar","57226162362","1","Pharmacology, Toxicology and Pharmaceutics
"
