Scopus - Author details

,
,

"Author Name","Auth-ID","Number of Documents","Subject Area","Orc_ID"

"Zamani, Batool","56483038100","18","Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Nursing
","0000-0001-8059-0466"
"Rahmanic, Hasan","57215828981","1","Chemistry
Chemical Engineering
"
"Meidani, Zahra","55793190740","25","Medicine
Health Professions
Computer Science
Social Sciences
Nursing
Engineering
Arts and Humanities
","0000-0001-8626-0513"
"Atharizade, Mahmood","56641889800","1","Chemistry
"
"Tahereh, Khamechian","57215873314","1","Medicine
Pharmacology, Toxicology and Pharmaceutics
"
"Sabuhi, Hojatallah","57196005729","1","Agricultural and Biological Sciences
"
"Jadi, Zahra","57209368533","2","Medicine
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
"
"Bagheri, Mohhammad","57295428600","1","Nursing
Medicine
Social Sciences
"
"Hafezi, Mahboubeh","57410295200","1","Medicine
Health Professions
"
"Namazi, Mansoor","56375051600","2","Medicine
Immunology and Microbiology
"
"Barati, Hooman","57222603791","1","Medicine
"
"Behrozi, Laleh","57202869053","1","Medicine
"
"Mehtari, Akram","57192604863","1","Medicine
"
"Sajjadian, Seyyed Mohammad Sajjad","57023877400","1","Medicine
"
"Habibi, Maryam","57222131272","1","Medicine
"
"Razzaghi, Farkhondeh","57216807455","2","Pharmacology, Toxicology and Pharmaceutics
"
"Vahidinia, Zeinab","57191920779","9","Medicine
Biochemistry, Genetics and Molecular Biology
Neuroscience
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
"
"Mosavi, Seyed Gholamabbas","57394543700","1","Medicine
"
"Masoud, Seyed Ali","8943259800","12","Medicine
Neuroscience
Nursing
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
"
"Hajirezaei, Mostafa","57216980358","1","Medicine
"
"Abedzadeh, Mohammadreza","57346050600","1","Environmental Science
Engineering
Medicine
"
"Moini, Atieh Sadat","56906785700","1","Medicine
Immunology and Microbiology
"
"Lahgani, Mohammad Jahangiri","55349871500","1","Medicine
"
"Yazdani-Darki, Malihe","57210801253","2","Nursing
"
"Dehghani, Masoud","57215434275","1","Environmental Science
Agricultural and Biological Sciences
Chemistry
Medicine
"
"Tabasi, Zohreh","57217138416","2","Medicine
"
"Seyyedi, Fariba","57217954958","2","Medicine
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Engineering
Agricultural and Biological Sciences
"
"Karami, Mohammad","57195344759","1","Medicine
"
"Abolhasani, Javad","56968019500","5","Medicine
Nursing
"
"Kakhki, Reza Daneshvar","57207888824","3","Medicine
Neuroscience
"
"Pour Abbasi, M. S.","57291900400","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Motallebi, Mitra","57189628866","10","Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Physics and Astronomy
Engineering
"
"Jafarnejad, Sadegh","57220021552","7","Medicine
Pharmacology, Toxicology and Pharmaceutics
"
"Rangraz Jeddi, Fatemeh","57419155300","1","Engineering
Health Professions
Medicine
"
"Talebian, Ahmad","34974783700","14","Medicine
Neuroscience
Biochemistry, Genetics and Molecular Biology
"
"Razavizadeh, Mohammad Reza","57112500400","6","Medicine
Neuroscience
"
"Mahlooji, Mohadeseh","57191221414","1","Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
"
"Haji, Somayeh","57216635221","1","Nursing
"
"Ali, Khadijeh Mir","57219377549","1","Medicine
"
"Chitsazan, Zahra","56544655300","1","Medicine
"
"Mousavi, Seyedeh Nesa","57196087838","1","Medicine
Health Professions
Nursing
"
"Akhavan, Tabassom","57191504138","1","Medicine
"
"Ahaki, A. R.","55945977500","1","Medicine
Immunology and Microbiology
"
"Beigmohammadi, Esmail","57214884813","1","Multidisciplinary
"
"Sharifi, Sahar","57193873972","1","Medicine
"
"Sharif, Seyed Amirabbas","57216787784","1","Medicine
"
"Bidgoli, Mansooreh Sabbaghian","57207757023","1","Medicine
"
"Vahedpoor, Zahra","56898949700","19","Medicine
Biochemistry, Genetics and Molecular Biology
Nursing
Pharmacology, Toxicology and Pharmaceutics
Health Professions
Psychology
Neuroscience
","0000-0002-3041-9908"
"Eslami, Mansooreh","57189514603","1","Multidisciplinary
"
"Zamani-Badi, Hakime","57191646874","3","Pharmacology, Toxicology and Pharmaceutics
Engineering
Medicine
"
