Scopus - Author details

,
,

"Author Name","Auth-ID","Number of Documents","Subject Area","Orc_ID"

"Kiani, Amin","57193276423","10","Environmental Science
Medicine
Chemistry
Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Social Sciences
","0000-0002-9111-3558"
"Ghanbari, Sahar","57387881700","1","Medicine
"
"Amiri, Ali","24079697400","5","Medicine
Immunology and Microbiology
"
"Jahromi, Mitra Sadeghi","57336328700","1","Medicine
"
"Khiali, Zahra","57221380004","1","Medicine
"
"Abdollahi, Mahshid","57193850757","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Maleknia, Mahsa","57211291378","4","Environmental Science
Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
"
"Shokri, Afsaneh","57195467340","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Ghasemi, Afsaneh","57363111700","2","Environmental Science
Medicine
"
"Kafashi, Mojtaba","57188924803","3","Medicine
Health Professions
Chemical Engineering
"
"Hosseinipour, Ali","57193849652","6","Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
"
"Nejati, Roghayeh","55912286900","4","Environmental Science
Chemical Engineering
Immunology and Microbiology
Nursing
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Medicine
Veterinary
"
"Nematolahi, S.","57394514000","1","Health Professions
Medicine
"
"Sayadi, Mehran","57197315597","18","Engineering
Environmental Science
Agricultural and Biological Sciences
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Materials Science
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Chemistry
Immunology and Microbiology
Energy
Business, Management and Accounting
"
"Ranjbar, Negar","57226763822","1","Agricultural and Biological Sciences
"
"Atef, Sanaz","57258845900","2","Medicine
"
"Shams, Seyed Reza","57224626846","1","Immunology and Microbiology
Medicine
"
"Mohammadisoleimani, Elham","57436488000","1","Medicine
Health Professions
Biochemistry, Genetics and Molecular Biology
"
"Badiei, Ronak","57204971299","1","Medicine
"
"Moravej, Ali","14028736700","30","Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
"
"Najafipour, Sohrab","6506572605","17","Biochemistry, Genetics and Molecular Biology
Medicine
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Chemistry
Arts and Humanities
Physics and Astronomy
Social Sciences
Agricultural and Biological Sciences
"
"Mohamadifar, Hosein","57208834638","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Saleh, Mahboubeh","57320374900","1","Biochemistry, Genetics and Molecular Biology
Environmental Science
"
"Fasaei, Iman Forghani","57222756828","1","Nursing
Medicine
"
"Leila Dehghani, Seyedeh","56561919000","1","Medicine
"
"Rostami-Chijan, Mahsa","57192235009","10","Medicine
Health Professions
Immunology and Microbiology
Nursing
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Pharmacology, Toxicology and Pharmaceutics
Psychology
","0000-0001-5617-9191"
"Naghizadeh, Mohammad Mehdi","16310136800","120","Medicine
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Multidisciplinary
Environmental Science
Health Professions
Social Sciences
Agricultural and Biological Sciences
Nursing
Engineering
Psychology
Chemical Engineering
","0000-0001-5562-103X"
"Ali, Sahmedini Mohammad","56936182900","1","Medicine
"
"Ansari, Mehdi","57216979496","2","Medicine
Social Sciences
Biochemistry, Genetics and Molecular Biology
"
"Sepahvand, Farzad","57355350200","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Bahmanyar, Maryam","36631405300","9","Medicine
Nursing
","0000-0002-9735-7940"
"Hosseinzadeh, Mehrnaz","57222076675","2","Neuroscience
Medicine
"
"Nourimand, Firoozeh","57210914386","5","Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
"
"Kebriyaei, Elham","57353513600","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Goorakani, Yashar","57217849400","1","Medicine
"
"Rezaee, Mohsen","57191836011","2","Medicine
Pharmacology, Toxicology and Pharmaceutics
"
"Bordbar, Mina","57213623630","2","Medicine
Pharmacology, Toxicology and Pharmaceutics
Nursing
"
"Moradi, Fatemeh","57213449120","1","Medicine
"
"Garaei, Alireza Gholami","57195380603","1","Medicine
"
"Ghavipisheh, Mahsa","55675416100","2","Medicine
"
"Ariya, Mohammad","57191667442","6","Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Engineering
"
"Rezaei, Farahnaz","57224934873","1","Environmental Science
"
"Hoshyar, Sanaz","57225000508","1","Medicine
"
"Tazangi, Roya Mehdizade","54891985200","1","Medicine
Pharmacology, Toxicology and Pharmaceutics
Social Sciences
"
"Zeghardi, Bita Sadat","57207619145","1","Medicine
"
"Saadat, Negin","57367633600","1","Medicine
"
"Marzban, Atefeh","55387653100","2","Medicine
"
"Fooladi, Hanie","57226717701","1","Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Chemical Engineering
"
"Bazargan, Zahra","57220605631","1","Medicine
"
"Hosseini, Narjes","57201299859","1","Multidisciplinary
"
"Khamisi, Elmira","57221293517","1","Medicine
"
"Faghih, Forough","57214471978","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Norouzi, Fatemeh","35503988600","9","Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
","0000-0002-7078-3616"
"Azadkhah, Fatemeh","57216590682","2","Medicine
"
"Ahmadi, Sedigheh","57191498404","2","Medicine
"
"Manouchehri, M.","57218957302","1","Social Sciences
Medicine
"
"Khosravi, Tomaj","57217043596","1","Health Professions
Medicine
Nursing
"
"Moradi, Milad","57202579964","1","Medicine
"
"Ebrahim Babaei, Amirali","57221851476","1","Medicine
Nursing
"
"Majidi, Shahab","57221085721","1","Medicine
"
"Moradi, Nasim","57189226878","2","Medicine
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
"
"Ghanbarian, S.","57220298552","1","Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Psychology
"
"Fatemeh, Rezaei","57296567300","2","Medicine
Pharmacology, Toxicology and Pharmaceutics
"
"Shojaeifard, Manzar Banoo","57212841934","25","Biochemistry, Genetics and Molecular Biology
Medicine
Health Professions
Chemical Engineering
Business, Management and Accounting
Social Sciences
Neuroscience
Psychology
","0000-0002-6257-9180"
"Zahmatkeshan, Maryam","57172886300","7","Medicine
Multidisciplinary
Computer Science
","0000-0003-4090-391X"
"Bijani, Mostafa","57195553814","40","Medicine
Nursing
Pharmacology, Toxicology and Pharmaceutics
Social Sciences
Biochemistry, Genetics and Molecular Biology
Arts and Humanities
Environmental Science
Mathematics
Engineering
Physics and Astronomy
Materials Science
Multidisciplinary
Chemistry
Computer Science
","0000-0001-7990-662X"
"Varaa, Negar","57207942230","6","Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Earth and Planetary Sciences
Immunology and Microbiology
Mathematics
Veterinary
Physics and Astronomy
Agricultural and Biological Sciences
Chemistry
"
"Dogani, Fatemeh","57212001768","1","Medicine
"
"Pourramezan, Fatemeh","57209779768","1","Biochemistry, Genetics and Molecular Biology
"
"Hosseini, Seyed Ali","56513177400","11","Biochemistry, Genetics and Molecular Biology
Medicine
Agricultural and Biological Sciences
Immunology and Microbiology
"
"Beygi, Najimeh","23391713700","8","Medicine
Pharmacology, Toxicology and Pharmaceutics
Physics and Astronomy
Materials Science
Nursing
Mathematics
Engineering
Chemistry
"
"Gitiforouz, Marzieh","55990872900","3","Medicine
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
"
"Dehbarez, Fatemeh Motamedi","57218896243","1","Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
"
"Zakeri, Habib","39262917200","11","Medicine
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
"
"Ravansalar, Seyed Ali","57211015051","1","Medicine
Health Professions
Nursing
"
"Maleki, Maryam","57211396981","1","Medicine
"
"Abdollahzadeh, Esmail","55457654400","12","Agricultural and Biological Sciences
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Medicine
"
"Piran, Mehrdad","57193086912","5","Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Multidisciplinary
Engineering
Medicine
"
"Jedi, Fariba","57226596285","1","Multidisciplinary
"
"Ghanbari, Mehrdad","57193723823","1","Medicine
"
"Izadpanah, Kiomars","56013102600","2","Medicine
"
"Yazdanpanah, Dorna","57191997564","2","Medicine
"
"Kokabi, Roya","28267812100","4","Medicine
","0000-0001-8558-2350"
"Gharaei, Alireza Gholami","56396906000","1","Medicine
"
"Kouhpayeh, Seyyed Amin","57222318533","2","Arts and Humanities
Medicine
Social Sciences
Biochemistry, Genetics and Molecular Biology
"
"Yazdanpanah, Mohammad Hosein","57202939788","5","Medicine
Multidisciplinary
Health Professions
"
"Goodarzi, Arash","57190684896","26","Biochemistry, Genetics and Molecular Biology
Materials Science
Engineering
Medicine
Chemical Engineering
Chemistry
Physics and Astronomy
Multidisciplinary
Pharmacology, Toxicology and Pharmaceutics
Nursing
Environmental Science
"
"Sorbi, Amin","57310340300","1","Psychology
"
"Entezam, Sepehr","57219271044","1","Medicine
Psychology
"
"Nejad, Zahra Bastani","57223389107","1","Agricultural and Biological Sciences
"
"Nikfar, Ghasem","57200938923","1","Medicine
"
