Scopus - Author details

,
,

"Author Name","Auth-ID","Number of Documents","Subject Area","Orc_ID"

"Abbassi, Mohammad Reza","8106787600","28","Earth and Planetary Sciences
Engineering
Environmental Science
Computer Science
","0000-0003-1128-2624"
"Ghafory-Ashtinay, M.","56626163100","2","Earth and Planetary Sciences
"
"Rashidi, Ahmad","57208083894","8","Earth and Planetary Sciences
","0000-0002-8970-4551"
"Hajibabaee, M.","56805144300","1","Earth and Planetary Sciences
Environmental Science
"
"Ahari, Masoud Nourali","15759271100","2","Earth and Planetary Sciences
Engineering
"
"Zadeh, M. Shahpasan","49965149800","1","Earth and Planetary Sciences
"
"Tavafoghi, Alireza","39262640500","1","Engineering
"
"Soghrat, Mohammadreza","54584253200","16","Earth and Planetary Sciences
Environmental Science
Engineering
Agricultural and Biological Sciences
"
"Asadzadeh Tarebari, Simin","57214125297","1","Engineering
Social Sciences
Environmental Science
"
"Mahmoodabadi, Meysam","57203681026","4","Earth and Planetary Sciences
Physics and Astronomy
Multidisciplinary
","0000-0002-9260-1318"
"Sasani, Mohammad","55195307400","2","Earth and Planetary Sciences
"
"Ali Goudarzi, Mohammad","55351332600","2","Engineering
Earth and Planetary Sciences
Agricultural and Biological Sciences
"
"Pourbeyranvand, Shahrokh","56669739200","4","Earth and Planetary Sciences
","0000-0002-3382-2823"
"Ashtiany, Mohsen Ghafory","57022271300","9","Engineering
Materials Science
Physics and Astronomy
Economics, Econometrics and Finance
Multidisciplinary
"
"Yamini-Fard, Farzam","16835343800","10","Earth and Planetary Sciences
Environmental Science
Engineering
Multidisciplinary
"
"Parsaeifard, Niloofar","57361982300","3","Engineering
"
"Rasulzadeh, Nima","57221306560","1","Engineering
Earth and Planetary Sciences
"
"Maleki, Abbas","36860740600","2","Engineering
"
"Livari, M. A.","16425857600","1","Biochemistry, Genetics and Molecular Biology
"
"Doloei, Gholam Javan","35179474200","3","Earth and Planetary Sciences
Engineering
"
"Taghavizade, Hamed","57211342007","6","Engineering
Computer Science
Earth and Planetary Sciences
Materials Science
Multidisciplinary
"
"Fattahi, Seyed Javad","57225075637","1","Engineering
Earth and Planetary Sciences
"
"Yaminifard, Farzam","35365656600","14","Earth and Planetary Sciences
Physics and Astronomy
Agricultural and Biological Sciences
"
"Shojaemehr, Saeed","57214464275","1","Engineering
"
"Jamali, Farshad H.","7006530205","3","Earth and Planetary Sciences
"
"Mohammadi, Hadiseh","57195306688","2","Engineering
Earth and Planetary Sciences
"
"Mobayen, Parisa","49261040400","2","Earth and Planetary Sciences
"
"Karamzadeh, Nasim","57221705954","3","Earth and Planetary Sciences
Engineering
"
"Motamed, Hooman","54880684800","3","Earth and Planetary Sciences
Engineering
Environmental Science
"
"Akbari, Mary","14818935900","1","Physics and Astronomy
"
"Azhari, Samira","57212957853","1","Engineering
Materials Science
"
"Sadeghzadeh-Nazari, M.","53867285100","1","Earth and Planetary Sciences
Mathematics
"
"Firuzi, Erfan","56755364800","4","Earth and Planetary Sciences
Engineering
Environmental Science
"
"Allameh Zadeh, M.","6504226669","2","Earth and Planetary Sciences
Physics and Astronomy
"
