Scopus - Author details

,
,

"Author Name","Auth-ID","Number of Documents","Subject Area","Orc_ID"

"Bag-Mohammadi, Mozafar","55665169500","29","Computer Science
Engineering
Mathematics
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Decision Sciences
Energy
Social Sciences
Chemistry
","0000-0002-9276-8249"
"Hosseinzadeh, Jaafar","57202399079","3","Environmental Science
Agricultural and Biological Sciences
","0000-0002-5479-9044"
"Mamizadeh, Jafar","55368573400","5","Environmental Science
Engineering
Multidisciplinary
Social Sciences
Computer Science
"
"Pourahmad, Fazel","23019691000","21","Immunology and Microbiology
Medicine
Agricultural and Biological Sciences
Veterinary
Materials Science
Biochemistry, Genetics and Molecular Biology
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Engineering
Multidisciplinary
Chemistry
","0000-0003-0342-1735"
"Shiri, Ghasem","56122601100","3","Business, Management and Accounting
Computer Science
Economics, Econometrics and Finance
"
"Bakhti, Fariba","55943076900","2","Chemical Engineering
Chemistry
"
"Shokry, Elham","57191738840","2","Energy
Social Sciences
Environmental Science
"
"Karimi, Haji","56215717700","26","Earth and Planetary Sciences
Environmental Science
Agricultural and Biological Sciences
Energy
Multidisciplinary
Social Sciences
Engineering
Chemistry
","0000-0001-7464-1810"
"Ghaneialvar, Hori","36241756400","23","Biochemistry, Genetics and Molecular Biology
Medicine
Chemistry
Chemical Engineering
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Engineering
Health Professions
Physics and Astronomy
Materials Science
Agricultural and Biological Sciences
Computer Science
Neuroscience
","0000-0003-4536-6041"
"Yaghma, Mihan","57202747534","1","Chemistry
Materials Science
"
"Najafifard, Mohammad","57216746097","1","Medicine
"
"Naghipour, Ali","6506864266","45","Chemistry
Materials Science
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Environmental Science
Mathematics
Chemical Engineering
Engineering
Agricultural and Biological Sciences
Earth and Planetary Sciences
Energy
","0000-0003-4151-9178"
"Louei Monfared, Ali","55556068200","32","Medicine
Veterinary
Environmental Science
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
"
"Rahmatinia, Zahra","57202942302","1","Multidisciplinary
"
"Ghanbari, Kazhal","57195053394","10","Chemistry
Biochemistry, Genetics and Molecular Biology
Materials Science
Engineering
Physics and Astronomy
Chemical Engineering
Computer Science
Multidisciplinary
"
"Khodarahmian, K.","55027480800","1","Chemistry
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
"
"Ahangar Zonouzi, Sajjad","55486527500","15","Engineering
Physics and Astronomy
Chemical Engineering
Energy
Materials Science
Mathematics
Chemistry
"
"Darafarin, Soraya","56016142600","4","Physics and Astronomy
Chemistry
Materials Science
Biochemistry, Genetics and Molecular Biology
Engineering
Chemical Engineering
Environmental Science
Medicine
"
"Taheri, Mohammad Rashid","57200200753","2","Agricultural and Biological Sciences
Medicine
Veterinary
"
"Koleiae, Farzaneh","56310682000","1","Chemistry
Physics and Astronomy
Materials Science
"
"Khoshmaram, Mojgan","57204961130","3","Business, Management and Accounting
Agricultural and Biological Sciences
Social Sciences
"
"Namazi, Yasaman","57220766208","1","Social Sciences
Engineering
Energy
"
"Ahmadi, Toran","57194386619","1","Engineering
Energy
"
"Chahardoli, Mahmood","57200162280","3","Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
"
"Mohsenpour, Thahereh","25230443700","1","Chemistry
"
"Fardin, G.","55949018200","1","Agricultural and Biological Sciences
"
