Scopus - Author details

,
,

"Author Name","Auth-ID","Number of Documents","Subject Area","Orc_ID"

"Ebrahimnejad, Hadi","57196023158","25","Agricultural and Biological Sciences
Chemistry
Veterinary
Medicine
Biochemistry, Genetics and Molecular Biology
Environmental Science
Materials Science
Chemical Engineering
Immunology and Microbiology
Health Professions
Multidisciplinary
","0000-0002-6499-7079"
"Ranjbar, Maryam","57223344698","1","Environmental Science
Energy
Chemical Engineering
"
"Alavi, N.","57069963400","4","Agricultural and Biological Sciences
Environmental Science
"
"Bahrain-Pour, A. R.","57211979575","1","Physics and Astronomy
Materials Science
Engineering
Mathematics
Computer Science
"
"Jafari, Oveis","57199509557","1","Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
"
"Hosseinipour, Akbar","41561497900","8","Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Materials Science
Immunology and Microbiology
Chemical Engineering
"
"Kyanfar, Faranges","56013996200","2","Mathematics
"
"Iran, Sheikhshoaie","35487621200","1","Physics and Astronomy
Chemistry
Materials Science
"
"Negar, Mohammad Reza","57214328577","1","Mathematics
Engineering
"
"Asadi Fouzi, M.","57420178300","1","Agricultural and Biological Sciences
"
"Zarei, Atefeh","57219056776","1","Physics and Astronomy
Earth and Planetary Sciences
Mathematics
Agricultural and Biological Sciences
Chemistry
"
"Lotfi, Zinat","57208704125","2","Immunology and Microbiology
Medicine
Chemistry
Veterinary
"
"Herfeh, Fahimeh Zeraat","57205189891","1","Medicine
Psychology
"
"Salehi, Norallah","57222515935","1","Health Professions
Biochemistry, Genetics and Molecular Biology
"
"Sarrafi, Amir","25932324000","44","Energy
Chemical Engineering
Environmental Science
Engineering
Earth and Planetary Sciences
Chemistry
Materials Science
Physics and Astronomy
Agricultural and Biological Sciences
Mathematics
Social Sciences
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Computer Science
"
"Qaderi Nasab, F.","57211603629","1","Environmental Science
Agricultural and Biological Sciences
"
"Nejati, Mehdi","57210081595","7","Energy
Economics, Econometrics and Finance
Multidisciplinary
Engineering
Mathematics
"
"Arasteh, J.","57217358714","3","Engineering
Materials Science
Physics and Astronomy
"
"Gharaei, Sanaz Khajoei","57203947777","2","Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Multidisciplinary
Chemical Engineering
"
