Scopus - Author details

,
,

"Author Name","Auth-ID","Number of Documents","Subject Area","Orc_ID"

"Yusefi, Hossein","57208649663","3","Medicine
Health Professions
Nursing
Pharmacology, Toxicology and Pharmaceutics
","0000-0001-6055-6316"
"Moslehi, Azam","36708329900","21","Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
Environmental Science
Engineering
","0000-0003-1153-1475"
"Taheri, Akram Mehtari","57209834277","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Dadkhah, Azam","57193337903","1","Medicine
Dentistry
"
"Kheirollahi, Fatemeh","57192639978","2","Medicine
"
"Haidari, Mohamad","57218957746","1","Medicine
"
"Rad, Mohammad Goudarzi","57329484800","1","Nursing
"
"Soltani, Nazanin","57218873270","2","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Mastani-Jehroodi, A.","57263406900","1","Social Sciences
Medicine
"
"Rafiei, Maryam","57196034281","1","Medicine
"
"Rahimi Fard, H.","56010604400","1","Medicine
"
"Farani, Ali Karimi","57217069421","1","Medicine
"
"Karami, M.","57207795767","2","Medicine
"
"Andarzkhora, Leyla","57217059846","1","Medicine
"
"Hassanpour, Mehdi","57195971352","1","Medicine
Dentistry
"
"Fath-Bayati, Leyla","57211445938","2","Materials Science
Biochemistry, Genetics and Molecular Biology
Engineering
"
"Jooshin, Moharram Karami","57194048044","5","Medicine
Immunology and Microbiology
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
"
"Atharizadeh, Mina","57285567400","1","Pharmacology, Toxicology and Pharmaceutics
"
"Aghaei, Mohsen","57218678135","1","Medicine
Immunology and Microbiology
"
"Fahad, Zahra","57209848450","1","Pharmacology, Toxicology and Pharmaceutics
"
"Norouzinezhad, Gholam Hossein","23467294300","3","Medicine
Psychology
Pharmacology, Toxicology and Pharmaceutics
Neuroscience
"
"Ghasemian, Mohammadreza","57214602357","1","Medicine
"
"Mohammadsalehi, Narges","56646576200","22","Medicine
Biochemistry, Genetics and Molecular Biology
Psychology
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Multidisciplinary
Social Sciences
Chemical Engineering
Agricultural and Biological Sciences
Chemistry
"
"Eslami, Monireh","57219470966","5","Medicine
Arts and Humanities
Social Sciences
Neuroscience
Psychology
"
"Reisian, Fatemeh","56943426500","1","Medicine
","0000-0002-8566-6412"
"Fouladi-Fard, Reza","57223950143","1","Chemistry
Chemical Engineering
"
"Bakhtiari, Masumeh","57189890378","1","Medicine
"
"Yazdanifar, Mohammad Amin","57382477400","1","Medicine
"
"Hejazi, Seyed Amir","16678957800","14","Medicine
Pharmacology, Toxicology and Pharmaceutics
Social Sciences
Nursing
Computer Science
Neuroscience
","0000-0001-9378-3371"
"Shiri, R.","57216970559","1","Environmental Science
"
"Moshki, Shokoufeh","57258589200","1","Immunology and Microbiology
"
"Sarahroodi, Shadi","35491578200","15","Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Immunology and Microbiology
","0000-0002-9300-6895"
"Alamiyan, Faezeh","57211454994","2","Medicine
"
"Amraei, Ahmadreza","57035367200","5","Medicine
Chemistry
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Engineering
Physics and Astronomy
Energy
Materials Science
"
"Khani, Samira","55888410000","13","Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Neuroscience
Nursing
Engineering
Health Professions
Psychology
","0000-0001-5981-8358"
"Mohammadi, Fatemeh","57218684600","1","Engineering
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
"
"Yousefi, Naser","57144182400","1","Medicine
"
"Hamta, Amir","55372693700","18","Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Social Sciences
Nursing
Engineering
Health Professions
Veterinary
Agricultural and Biological Sciences
"
"Saghafi, Hossein","34873272900","14","Medicine
Nursing
Health Professions
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Social Sciences
","0000-0001-8338-2590"
"Ouladdameshghi, Davoud","57222809895","1","Medicine
"
"Porazmey, Elaheh Jame","57195228638","1","Environmental Science
"
"Akbari, Valiollah","57209208875","6","Nursing
Medicine
Social Sciences
Neuroscience
Arts and Humanities
Computer Science
Psychology
"
"Amiri, Meysam Hosseini","57208652818","2","Medicine
Health Professions
Nursing
"
"Taghavi, Rohallah","57250138300","1","Medicine
"
"Tabaraii, Y.","51764608000","1","Medicine
"
"Fouladi-Fard, Reza","57211646456","40","Environmental Science
Medicine
Chemistry
Engineering
Immunology and Microbiology
Earth and Planetary Sciences
Pharmacology, Toxicology and Pharmaceutics
Energy
Agricultural and Biological Sciences
Business, Management and Accounting
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Health Professions
Dentistry
Social Sciences
Chemical Engineering
"
"Rahmatinejad, Parvin","57202850459","4","Medicine
Neuroscience
Social Sciences
"
"Hasanpoor, Fatemeh","57211752660","1","Agricultural and Biological Sciences
Nursing
"
"Hossaini, Seyed Kamal Eshagh","56778053000","8","Medicine
Environmental Science
Nursing
Immunology and Microbiology
"
"Gharib, Behrouz","56893913800","3","Medicine
Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
"
"Effatpanah, Marzieh","56018736800","1","Medicine
Environmental Science
Biochemistry, Genetics and Molecular Biology
"
"Eftekhari, Tahereh","57224645350","1","Medicine
"
"Afzal, N. Jafari","57216971535","1","Environmental Science
"
"Khosroshahian, Salva","57190400845","3","Medicine
Dentistry
"
"Kazemi, M.","57213749759","1","Medicine
"
"Darabi, Shamsi","57193010109","5","Medicine
Biochemistry, Genetics and Molecular Biology
Neuroscience
Chemical Engineering
Engineering
Chemistry
Psychology
"
"Abedi-Astaneh, Fatemeh","56708846800","4","Immunology and Microbiology
Medicine
Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Veterinary
"
"Gharib Laki, Mahboobeh","57221956834","1","Medicine
"
"Madani, Saeed","57211748230","4","Medicine
"
"Hajisadeghi, Samira","57192908163","2","Dentistry
Pharmacology, Toxicology and Pharmaceutics
"
"Parsamanesh, E.","57192189370","1","Medicine
"
"Sarkeshikian, Seyed Saeid","55216584100","22","Medicine
Biochemistry, Genetics and Molecular Biology
Nursing
Pharmacology, Toxicology and Pharmaceutics
","0000-0002-5702-7410"
"Salehi, F.","57377444200","1","Medicine
"
"Arsang, Shahram","57217061602","1","Medicine
"
"Shahhamzeh, Alireza","57216186042","2","Medicine
Immunology and Microbiology
"
"Alizadeh, Narges","57218992961","4","Medicine
Social Sciences
"
"Hadi, Ali","57218957873","1","Medicine
"
"Saghafipour, Abedin","38862941000","91","Medicine
Immunology and Microbiology
Veterinary
Agricultural and Biological Sciences
Social Sciences
Biochemistry, Genetics and Molecular Biology
Earth and Planetary Sciences
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Multidisciplinary
"
"Safari, Somayyeh","56329736700","7","Medicine
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
"
"Zia Sheikholeslami, N.","57195959102","1","Medicine
"
"Nahid, Mehran","36573951300","1","Medicine
"
"Momeni, Saba","56165891200","5","Medicine
Computer Science
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Engineering
Health Professions
"
"Farshid-Moghadam, Maasoumeh","57210288427","2","Medicine
"
"Farahani, Samira Dastjani","57207768166","1","Medicine
"
"Doremami, Mohsen","36470052600","1","Economics, Econometrics and Finance
Business, Management and Accounting
"
"Hoseini, Zahra Sarbaz","55656023000","3","Biochemistry, Genetics and Molecular Biology
Medicine
Health Professions
"
"Farhadloo, Roohollah","57192924629","2","Medicine
Nursing
"
"Masoumi, Samaneh","57211340408","1","Dentistry
"
"Eskandari, Narges","55674631400","20","Medicine
Nursing
Social Sciences
Psychology
","0000-0001-9592-4625"
"Mahvari, Mohadeseh","55618334500","1","Medicine
"
"Sadat, Elaheh","56056257500","3","Computer Science
Environmental Science
Physics and Astronomy
Engineering
Mathematics
"
"Karimkhani Zandi, Saeed","57207736981","2","Medicine
Engineering
Biochemistry, Genetics and Molecular Biology
"
"Haji Zadeh, Ebrahim","56943416600","1","Medicine
"
"Ahmari Tehran, Hoda","55619587000","18","Medicine
Nursing
Social Sciences
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
","0000-0001-7389-6547"
"Sadeghi, Sayed Mohsen","57211293353","3","Dentistry
Pharmacology, Toxicology and Pharmaceutics
"
"Iranikhah, Abolfazl","49861614700","18","Medicine
Biochemistry, Genetics and Molecular Biology
","0000-0003-2792-9912"
"Azizifar, M.","49962903300","1","Medicine
"
"Khalifeh, Atefeh","57210926235","1","Pharmacology, Toxicology and Pharmaceutics
"
"Naderi, Amir Hossein","57223022164","1","Medicine
"
