Scopus - Author details

,
,

"Author Name","Auth-ID","Number of Documents","Subject Area","Orc_ID"

"Jamali, Saeed","55249190300","14","Environmental Science
Engineering
Energy
Earth and Planetary Sciences
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
","0000-0001-6308-3470"
"Motlagh, A. Davani","57226161054","1","Engineering
"
"Ranjbaran, Maliheh","57198249066","12","Physics and Astronomy
Materials Science
Multidisciplinary
Engineering
Energy
"
"Haroonabadi, Ali","26325676500","3","Computer Science
Mathematics
Multidisciplinary
"
"Fardoud, Zahra Taghavi","57215095769","1","Arts and Humanities
Social Sciences
"
"Shariat Bagheri, Mohammad Mahdi","57222672332","1","Medicine
Neuroscience
"
"Shahmirzadi, Niloufar","56803915600","4","Social Sciences
Business, Management and Accounting
Arts and Humanities
Economics, Econometrics and Finance
"
"Safari, Keivan Hosseini","37662084900","7","Engineering
Materials Science
Mathematics
Chemical Engineering
Physics and Astronomy
Chemistry
Computer Science
"
"Beyhaghi, Zahra","54419634700","1","Social Sciences
Business, Management and Accounting
Chemical Engineering
"
"Karami, E.","57213484233","1","Earth and Planetary Sciences
Energy
"
"Shahriyari, Arash","57223337926","1","Medicine
Health Professions
"
"Khorramabadi, Amin","57203978028","1","Computer Science
Engineering
"
"Salari, Mansoureh","56689635100","2","Medicine
"
"Imani, Mohammad Naghi","56945054000","2","Business, Management and Accounting
Multidisciplinary
Computer Science
Decision Sciences
"
"Mofid, Mohammad Ammar","54411161600","10","Materials Science
Engineering
Physics and Astronomy
Computer Science
Earth and Planetary Sciences
Chemistry
","0000-0003-1687-7440"
"Ghahari-Korani, Sare","56426436100","1","Physics and Astronomy
"
"Dardashti Pour, Elnaz","57260931900","1","Medicine
Nursing
"
"Ghadimi, G.","57220317114","1","Physics and Astronomy
Engineering
Materials Science
"
"Danaii, Elmira","50461369000","1","Chemistry
Biochemistry, Genetics and Molecular Biology
"
"Jafari, Fatemeh Mohammad","57215415769","2","Arts and Humanities
Social Sciences
"
"Amirsardari, Leili","56394636700","3","Neuroscience
Medicine
"
"Aghamajidi, Mohammad","57201390736","1","Engineering
Energy
Chemical Engineering
"
"Aghazarian, Vahe","39060993100","6","Computer Science
Mathematics
Physics and Astronomy
Materials Science
Engineering
"
"Khazamipour, Nasrin","54951110600","4","Energy
"
"Meamar, Elmira","54892098400","2","Social Sciences
Psychology
"
"Sheikh Bagheri, Afsaneh","57224100843","1","Physics and Astronomy
Earth and Planetary Sciences
Mathematics
Agricultural and Biological Sciences
Chemistry
"
"Hasanpoor, Hosein","57209253439","1","Business, Management and Accounting
Social Sciences
Health Professions
Medicine
Psychology
"
"Panahinia, Mahsa","57220027099","1","Dentistry
"
"Matinhomaee, Hassan","54420532800","10","Medicine
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Health Professions
","0000-0001-9340-1759"
"Mousavi, Fatemeh","55947250100","15","Chemistry
Biochemistry, Genetics and Molecular Biology
Environmental Science
Chemical Engineering
Agricultural and Biological Sciences
Materials Science
Medicine
"
"Zolfaghari, Fatemeh Sadat","57200069188","6","Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Environmental Science
Medicine
Neuroscience
Social Sciences
","0000-0002-1196-971X"
"Nazari, Mahsa","57201720991","1","Business, Management and Accounting
"
"Karami, Maryam","57215719181","1","Environmental Science
"
"Nosrati, Sima Attar","35264504500","5","Environmental Science
Materials Science
Chemistry
Pharmacology, Toxicology and Pharmaceutics
Medicine
Physics and Astronomy
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
"
"Hosseini Aliabadi, Mahmood","57223826760","17","Engineering
Energy
Mathematics
Computer Science
Physics and Astronomy
Social Sciences
"
"Nouri, Morteza","57193850648","4","Materials Science
Physics and Astronomy
Chemistry
Chemical Engineering
"
"Sadhi, Reza Jafari","57203534774","1","Medicine
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Social Sciences
"
"Samira Bagheri","57369451900","1","Chemistry
"
"Nezhad, Zahra Soliman","55639656600","1","Engineering
Computer Science
"
"Mostashari, Seyed Mohammad","16028951800","5","Materials Science
Energy
Chemical Engineering
Physics and Astronomy
Engineering
Chemistry
"
"Ashayeri, Vahid","57204392402","1","Chemistry
Chemical Engineering
"
"Oliaei, Reyhaneh","57220076055","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Aghamolaei, Darya","57210116312","1","Engineering
Mathematics
Computer Science
"
"Sadeghi, Mahsa","57189323903","1","Neuroscience
Psychology
"
