Scopus - Author details

,
,

"Author Name","Auth-ID","Number of Documents","Subject Area","Orc_ID"

"Namazi, Mohammad Javad","37061762100","18","Medicine
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Neuroscience
Agricultural and Biological Sciences
","0000-0001-5680-3919"
"Enayati, Farzaneh","57318259100","1","Medicine
"
"Talebi, Shahrbanoo","57218625977","1","Medicine
"
"Delbari, Ali","56453098800","9","Medicine
Biochemistry, Genetics and Molecular Biology
Engineering
Dentistry
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Health Professions
Neuroscience
"
"Hashemi-Khah, Malihe","57203132571","1","Biochemistry, Genetics and Molecular Biology
Chemistry
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
"
"Jalali, Arezou Niknezhad","57201844585","1","Medicine
"
"Pourhamedi, Saeedeh","57215195491","2","Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Medicine
Pharmacology, Toxicology and Pharmaceutics
"
"Javaheri, Ehsan","56100598100","8","Engineering
Materials Science
Computer Science
Immunology and Microbiology
"
"Kheirkhah, Maryam","57225263310","1","Medicine
"
"Haddadi, Mohammad","57283832300","1","Medicine
"
"Rastakhiz, Mitra","57194053509","2","Environmental Science
Chemistry
Chemical Engineering
"
"Farrokhifar, Majid","57218582915","1","Pharmacology, Toxicology and Pharmaceutics
"
"Rad, Mojtaba","57203019754","5","Medicine
"
"Abbasi, Faezeh","55444457000","1","Medicine
"
"Kashani, Ehsan","57200310163","2","Nursing
Medicine
"
"Parvin, Fatemeh","54963043000","4","Medicine
Agricultural and Biological Sciences
Veterinary
Nursing
"
"Roudi, Hossein Ahmad Ghahestani","57200505038","1","Medicine
"
"Moradi, Sajad","57226141337","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Rostami, E.","57194566325","1","Medicine
","0000-0003-0918-1250"
