Scopus - Author details

,
,

"Author Name","Auth-ID","Number of Documents","Subject Area","Orc_ID"

"Abouhossein, Alireza","6505988552","21","Engineering
Computer Science
Medicine
Chemical Engineering
Mathematics
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Social Sciences
Neuroscience
","0000-0001-8697-1593"
"Barkhordari, Mehrdad","56018100300","1","Medicine
"
"Hatamai, Hossein","57196219228","1","Medicine
Immunology and Microbiology
"
"Arbabi, Arman","57195315859","3","Environmental Science
Engineering
"
"Hosainzadeh, Fateh","57189644446","2","Engineering
Chemistry
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
"
"Shariat, Seyed Saeed","37052841900","1","Medicine
"
"Barkhordari, Amir","57205734186","1","Engineering
Medicine
Social Sciences
Chemical Engineering
"
"Sedaghat, Zahra","57193209666","12","Medicine
Environmental Science
Immunology and Microbiology
Social Sciences
Biochemistry, Genetics and Molecular Biology
"
"Valipor, Sima","57202549384","1","Multidisciplinary
"
"Arami, Seyed Mohammad","57202199469","1","Environmental Science
"
"Sahne Sh, Haji","56043283600","1","Biochemistry, Genetics and Molecular Biology
"
"Shiri, P.","57205633808","1","Medicine
"
"Modabberi, Mohammad Reza","57222115344","1","Medicine
"
"Taheri, Azam","56735846100","1","Medicine
"
"Zadeh, Amir Dadash","57190226724","1","Engineering
Pharmacology, Toxicology and Pharmaceutics
"
"Moosazadeh, Alireza","57191094057","1","Medicine
"
"Hasanzadeh, Sajedeh","57195674614","1","Medicine
"
"Nourafkan, Z.","56646483400","1","Medicine
"
"Rabiei, Hadiseh","57216203048","7","Medicine
Environmental Science
Social Sciences
Engineering
Computer Science
"
"Khani, Ali Ramezan","57195292660","1","Medicine
"
"Nassiri, Mohammad","56385306800","1","Medicine
"
"Najafi, Marziye","56943050300","2","Medicine
Pharmacology, Toxicology and Pharmaceutics
"
"Tayefeh-Rahimian, Raana","56307870000","3","Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
"
"Piroti, Ehsan","56951218100","2","Environmental Science
"
"Kouhi, Reza","57209368816","1","Environmental Science
"
"Hatami, Hossein","57195043865","2","Medicine
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
"
"Rajaie, N.","57003549300","1","Medicine
"
"Hamedian, Amir Abbas","54795138900","5","Medicine
Biochemistry, Genetics and Molecular Biology
Earth and Planetary Sciences
Veterinary
"
"Fallah, Saeid","57202715951","1","Medicine
Health Professions
"
"Alinezhad, A.","56507189500","1","Environmental Science
Engineering
"
"Sabouri, Maryam","57204583545","5","Medicine
Social Sciences
Dentistry
"
"Rakhshani, Fatemeh","14625469200","44","Medicine
Nursing
Social Sciences
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Engineering
Psychology
Dentistry
Multidisciplinary
Agricultural and Biological Sciences
"
"Yaaghoubi, Mahdieh","57406842400","1","Environmental Science
Engineering
Medicine
"
"Rajaee, Roya","56943468900","2","Medicine
Pharmacology, Toxicology and Pharmaceutics
"
"Sadani, Mohsen","54916459600","35","Environmental Science
Chemistry
Engineering
Chemical Engineering
Physics and Astronomy
Medicine
Materials Science
Multidisciplinary
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Business, Management and Accounting
Energy
"
"Rafiee Miandashti, Masoud","57195684357","2","Engineering
Chemical Engineering
Energy
Agricultural and Biological Sciences
Decision Sciences
"
"Amirhossein, Matin","55734959500","1","Medicine
Pharmacology, Toxicology and Pharmaceutics
"
"Entezami, Narges","57202544035","1","Medicine
"
"Azimi, Sara","57214615306","1","Medicine
"
"Vahabi Shekarloo, Masoomeh","57194717964","9","Environmental Science
Medicine
Biochemistry, Genetics and Molecular Biology
Materials Science
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Chemistry
","0000-0002-4490-3792"
"Yousef Nezhad, Sadegh","57200305141","1","Medicine
"
"Jamaliarand, Hedayatollah","57211782985","1","Medicine
"
"Ranjbar, Leila Azadeh","56326852900","3","Medicine
Pharmacology, Toxicology and Pharmaceutics
"
"Dolanghar, Amir Kavousi","57201702924","1","Medicine
"
"Nazari, Mehdi","57216861412","1","Immunology and Microbiology
"
"Ghahremani, Reza","57211329190","2","Medicine
"
"Akhondzadeh, Elham","57217604591","2","Nursing
Medicine
"
"Taravat Manesh, S.","57003455700","1","Medicine
"
"Hosseini, Vajihe","55358061700","3","Medicine
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Environmental Science
"
"Azimi, Sayyedeh Sara","56553875200","2","Medicine
"
"Mirtaleb Abkenar, T.","56323841900","1","Environmental Science
Agricultural and Biological Sciences
"
