Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID,
"Zeinali, M.",35222605900,963,"Physics and Astronomy
Engineering
Mathematics
Multidisciplinary
",,
"Fotuhi Firuzabad, Mahmud",25957961700,457,"Engineering
Energy
Computer Science
Mathematics
Materials Science
Decision Sciences
Physics and Astronomy
Environmental Science
Chemistry
Multidisciplinary
Business, Management and Accounting
Economics, Econometrics and Finance
Medicine
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Social Sciences
",,
"Arfaei, Hessamaddin",6602318286,370,"Physics and Astronomy
Mathematics
Engineering
Multidisciplinary
Chemistry
",,
"Parnianpour, Mohamad",7005310614,367,"Medicine
Engineering
Biochemistry, Genetics and Molecular Biology
Computer Science
Chemical Engineering
Health Professions
Earth and Planetary Sciences
Social Sciences
Neuroscience
Psychology
Physics and Astronomy
Mathematics
Materials Science
Chemistry
Agricultural and Biological Sciences
Environmental Science
Energy
Multidisciplinary
Arts and Humanities
Nursing
",,
"Sarbazi-Azad, Hamid",56231405200,365,"Computer Science
Engineering
Mathematics
Biochemistry, Genetics and Molecular Biology
Decision Sciences
Physics and Astronomy
Social Sciences
Energy
Business, Management and Accounting
",,
"Ahmadian, Mohammadtaghi",8403389300,347,"Engineering
Computer Science
Materials Science
Physics and Astronomy
Mathematics
Chemistry
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Medicine
Energy
Earth and Planetary Sciences
Environmental Science
Agricultural and Biological Sciences
Decision Sciences
Business, Management and Accounting
Immunology and Microbiology
Health Professions
Psychology
",,
"Niaki, Seyed Taghi Akhavan",57193316997,320,"Engineering
Computer Science
Mathematics
Decision Sciences
Business, Management and Accounting
Environmental Science
Physics and Astronomy
Chemistry
Materials Science
Energy
Economics, Econometrics and Finance
Multidisciplinary
Social Sciences
Medicine
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Earth and Planetary Sciences
",0000-0001-6281-055X,
"Aref, Mohammad Reza",7003626366,303,"Computer Science
Engineering
Mathematics
Social Sciences
Physics and Astronomy
Decision Sciences
Materials Science
Chemistry
Energy
Neuroscience
Earth and Planetary Sciences
Business, Management and Accounting
",,
"Simchi, Abdolreza",6602882167,299,"Materials Science
Engineering
Physics and Astronomy
Chemistry
Chemical Engineering
Energy
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Mathematics
Decision Sciences
Business, Management and Accounting
Environmental Science
Medicine
Multidisciplinary
Computer Science
",0000-0002-9111-2977,
"Movaghar, Ali",6603397985,293,"Computer Science
Engineering
Mathematics
Social Sciences
Physics and Astronomy
Decision Sciences
Materials Science
Chemistry
Business, Management and Accounting
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Earth and Planetary Sciences
Environmental Science
Agricultural and Biological Sciences
Neuroscience
",0000-0002-6803-6750,
"Ayatollahi, Shahab",7003679429,276,"Energy
Chemical Engineering
Earth and Planetary Sciences
Chemistry
Physics and Astronomy
Materials Science
Engineering
Environmental Science
Biochemistry, Genetics and Molecular Biology
Computer Science
Mathematics
Business, Management and Accounting
Immunology and Microbiology
Medicine
Multidisciplinary
Agricultural and Biological Sciences
Social Sciences
",0000-0001-7561-6393,
"Marvasti, Farokh A.",7005676504,265,"Computer Science
Engineering
Mathematics
Physics and Astronomy
Social Sciences
Materials Science
Decision Sciences
Medicine
Biochemistry, Genetics and Molecular Biology
Chemistry
Health Professions
Energy
Chemical Engineering
Neuroscience
",,
"Kia, Reza",24461690200,262,"Chemistry
Physics and Astronomy
Materials Science
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Engineering
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Computer Science
",,
"Alasty, Aria",6602515212,257,"Engineering
Computer Science
Mathematics
Physics and Astronomy
Materials Science
Chemistry
Energy
Biochemistry, Genetics and Molecular Biology
Medicine
Chemical Engineering
Environmental Science
Neuroscience
Agricultural and Biological Sciences
Health Professions
",0000-0002-6354-0034,
"Saidi, M. H.",56221098400,251,"Engineering
Physics and Astronomy
Chemical Engineering
Materials Science
Energy
Chemistry
Computer Science
Environmental Science
Mathematics
Earth and Planetary Sciences
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
",,
"Meghdari, Ali",7003828407,249,"Engineering
Computer Science
Mathematics
Physics and Astronomy
Materials Science
Chemistry
Medicine
Arts and Humanities
Psychology
Chemical Engineering
Energy
Biochemistry, Genetics and Molecular Biology
Earth and Planetary Sciences
Neuroscience
Social Sciences
Environmental Science
Multidisciplinary
Business, Management and Accounting
Nursing
Agricultural and Biological Sciences
",,
"Sadrnezhaad, Sayed Khatiboleslam",8221994800,249,"Materials Science
Engineering
Physics and Astronomy
Chemistry
Chemical Engineering
Environmental Science
Earth and Planetary Sciences
Biochemistry, Genetics and Molecular Biology
Energy
Computer Science
Mathematics
Pharmacology, Toxicology and Pharmaceutics
Medicine
",0000-0003-2631-5863,
"Aghajan, Hamid K.",18041521100,246,"Computer Science
Engineering
Mathematics
Physics and Astronomy
Materials Science
Biochemistry, Genetics and Molecular Biology
Medicine
Earth and Planetary Sciences
Neuroscience
Social Sciences
Decision Sciences
Energy
Multidisciplinary
Chemistry
Nursing
Arts and Humanities
Psychology
",,
