Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID
"Hosseini, Maryam",56954321000,1,"Mathematics
Computer Science
",
"Soleimani, Soheil",35732960900,4,"Physics and Astronomy
Engineering
Biochemistry, Genetics and Molecular Biology
Medicine
Computer Science
",
"Hajibagheri, M.",55759002900,1,"Mathematics
Physics and Astronomy
",
"Rouhi, Javad",25654444100,4,"Engineering
Energy
Multidisciplinary
Computer Science
",
"Masoumi Moghri, Parisa",55486365200,1,"Computer Science
",
"Hedayati, Nima",57212202038,2,"Physics and Astronomy
Materials Science
Chemistry
",
"Hassasi, Seyed Abbas",57208317773,2,"Engineering
Materials Science
",
"Akhlaghi, Mohammad Kazem",57204226279,2,"Computer Science
Mathematics
",
"Zahedi, Farshad",57212401645,2,"Engineering
Materials Science
",
"Jamaati, Roohollah",35386329700,128,"Engineering
Materials Science
Physics and Astronomy
Computer Science
Chemistry
Decision Sciences
Business, Management and Accounting
Chemical Engineering
Earth and Planetary Sciences
Mathematics
Multidisciplinary
",0000-0002-4764-9910
"Khosravi, Hor",57314894100,1,"Engineering
",
"Khoshnoud, Sajjad",57199728769,1,"Mathematics
Engineering
Energy
",
"Valinataj, Mojtaba",26649183200,30,"Computer Science
Engineering
Physics and Astronomy
Materials Science
Mathematics
Chemical Engineering
Social Sciences
Decision Sciences
",
"Erfani, Ali",57222993575,1,"Engineering
Materials Science
",
"Bani Sheykholeslami, F.",55786835300,1,"Computer Science
",
"Jafari, Shakiba",57217185884,1,"Environmental Science
",
"Naghizadeh, Ali",57222080604,3,"Energy
Physics and Astronomy
Materials Science
Chemical Engineering
",
"Ramezani, Mohammadmehdi",57226104012,1,"Environmental Science
",
"Verij Kazemi, Mohammad",57198065080,13,"Engineering
Energy
Mathematics
Computer Science
Chemical Engineering
",0000-0003-1686-3225
"Rashidi-Juybari, Saeed",57202073726,2,"Engineering
Physics and Astronomy
Materials Science
Chemistry
Computer Science
",
"Batebi-Motlagh, Yadollah",57193538210,2,"Engineering
",
"Taghipour Kolaei, Zahra",51864800600,2,"Chemistry
Materials Science
Business, Management and Accounting
Chemical Engineering
",
"Mirshekar, Mahboobeh",57189900114,1,"Engineering
Computer Science
",
"Soleymani, Ehsan",56111980300,1,"Materials Science
Physics and Astronomy
Chemistry
",
"Bijani, Vahid",56856767700,3,"Engineering
Physics and Astronomy
Mathematics
Computer Science
",
"DAMAVANDI, Esmaeil",57192266198,9,"Materials Science
Engineering
Physics and Astronomy
Earth and Planetary Sciences
",0000-0001-5517-4268
"Rupani, Banin",55484641000,2,"Chemistry
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Engineering
",
"Alizadeh, Milad R.",57059967500,20,"Physics and Astronomy
Materials Science
Chemistry
Engineering
Energy
Chemical Engineering
Multidisciplinary
",
"Noee, Abolfazl Ranjbar",26423145900,4,"Engineering
Computer Science
Energy
Mathematics
",
"Salehi, Sajad Hassan",57198232601,8,"Engineering
Materials Science
Physics and Astronomy
Social Sciences
Mathematics
Chemical Engineering
Medicine
",
"Movagharnejad, Kamyar",55879590000,55,"Chemical Engineering
Chemistry
Physics and Astronomy
Engineering
Energy
Agricultural and Biological Sciences
Environmental Science
Materials Science
Biochemistry, Genetics and Molecular Biology
Computer Science
Earth and Planetary Sciences
Mathematics
Social Sciences
",
"Ledari, Shiva Abdollahzadeh",57218327834,1,"Engineering
Computer Science
",
"Asli, Sahebeh Alizadeh",57219963507,1,"Chemistry
",
"Zolfaghari-Darzi, Ali Asghar",57292535000,1,"Engineering
Computer Science
",
"Tabatabai, Amir Mavahebi",36678223600,1,"Multidisciplinary
",
"Bazrafshan, Jafar",37017222500,5,"Engineering
Materials Science
Multidisciplinary
",
"Noey, A. Ranjbar",56152447500,2,"Engineering
",
"Zardoshtian, Ali",57224326691,1,"Engineering
Computer Science
",
"Jalali, Pedram",57192074592,4,"Engineering
Materials Science
",0000-0002-1741-9882
"Sherafati, J.",56303992800,1,"Physics and Astronomy
Materials Science
",
"Meresht, Navid Balazadeh",57191953464,2,"Mathematics
Computer Science
",
"Hosseini, Mir Emad",57200426577,2,"Engineering
",
"Khalili, Mohammadtaghi Soheil",36622714600,6,"Engineering
Materials Science
Energy
Chemical Engineering
",
"Ghasemi, M.",57224875588,1,"Multidisciplinary
",
"Fazlollahnejad, M.",35242538900,1,"Chemistry
Chemical Engineering
Environmental Science
Biochemistry, Genetics and Molecular Biology
",
"Shidpoor, R.",57323090800,1,"Engineering
",
"Mirza Goltabar Rowshan, A.",55913084900,1,"Engineering
",
"Haghnejad, Mehdi",57218248958,1,"Engineering
",
"Seyyedalipour, S. F.",56884689200,1,"Environmental Science
Agricultural and Biological Sciences
",
"Firoozi, S.",57194415142,2,"Engineering
Materials Science
Multidisciplinary
",
"Roshan, Alireza Mirza Goltabar",57225924021,1,"Engineering
",
"Kayhani, Amirmohammad",57226075882,1,"Engineering
Earth and Planetary Sciences
",
"Shams, Mojtaba",57226664071,1,"Engineering
",
"Noruzi, Solumaz",57221744287,1,"Energy
Engineering
",
"Hashemi-Valikboni, Seyed Zeynolaabedin",57218380060,1,"Physics and Astronomy
Chemistry
",
"Beigi, Morteza H.",55683303700,1,"Engineering
Materials Science
",
"Mehdipour, A.",57225757777,1,"Engineering
Energy
",
"Karimi Petanlar, Mehrdad",57218198114,1,"Engineering
Earth and Planetary Sciences
Environmental Science
",
"Sazmand, Afsane",57195936247,2,"Mathematics
",
"Saeedi, B.",56652133700,1,"Engineering
Materials Science
",
"Ramzani, Hasan",57218396879,1,"Engineering
Mathematics
Computer Science
",
"Amirsoleymani, Yasaman",57348093200,1,"Environmental Science
",
"Shajie, Farshad",57193514206,3,"Physics and Astronomy
Engineering
Chemistry
Materials Science
Earth and Planetary Sciences
Agricultural and Biological Sciences
Mathematics
",
"Mohamadigangaraj, Javad",57208567201,3,"Physics and Astronomy
Materials Science
Engineering
Earth and Planetary Sciences
",
"Darzikolaei, Mohammad Akhondi",57189498018,3,"Computer Science
Engineering
",
"Zarei, Camellia",57217977625,1,"Chemical Engineering
Chemistry
",
"Mofid, T.",57219179219,1,"Engineering
",
"Riazi, S.",57044529200,1,"Engineering
",
"Ganjipour, Javad",54897951800,1,"Computer Science
",
"Paydar, Mohammad Mahdi",23025569300,110,"Engineering
Computer Science
Decision Sciences
Business, Management and Accounting
Mathematics
Environmental Science
Energy
Agricultural and Biological Sciences
Physics and Astronomy
Chemistry
Materials Science
Economics, Econometrics and Finance
Social Sciences
Medicine
Dentistry
Multidisciplinary
Chemical Engineering
",0000-0002-0941-247X
"Sahraei Moghadam, Amirhosein",57221383712,4,"Engineering
Materials Science
",
"Khalili, Arezoo",56647791900,1,"Engineering
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
",
"Naqibi, Mehdi Fallahati",57326282300,1,"Materials Science
",
"Taghavi, Nasim",57222172862,1,"Engineering
Materials Science
",
"Eskandary, Keivan",45161137700,3,"Engineering
Physics and Astronomy
Materials Science
Chemistry
Computer Science
",
"Kazemi-Sangsereki, Mehdi",54917073900,1,"Engineering
",
"Yeganegi, Banafsheh",57189492709,1,"Computer Science
",
"Omranian, Ehsan",57201457953,7,"Engineering
Earth and Planetary Sciences
Agricultural and Biological Sciences
",0000-0003-4329-9957
"Neshat, Soheil A.",57191272192,4,"Environmental Science
Chemical Engineering
Engineering
Chemistry
Energy
Earth and Planetary Sciences
",
"Siavashi, Mostafa",57226528175,2,"Engineering
",
"Azami, R.",55619728200,3,"Physics and Astronomy
Engineering
",
"Damadi, Mohammad",57189986863,1,"Engineering
Materials Science
",
"Azizi Tousi, Ali",56287593800,1,"Engineering
",
"Paluch, Mehrdad",57189760170,1,"Engineering
Computer Science
",
"Gholizadeh, Roya",57222108228,1,"Computer Science
Mathematics
Social Sciences
",
"Gouran, Sina",57250781000,2,"Engineering
Chemical Engineering
",
"Lesan, Saeed",6508078734,24,"Engineering
Energy
Mathematics
Multidisciplinary
Chemical Engineering
Environmental Science
Materials Science
Agricultural and Biological Sciences
Computer Science
",
"MomeniLarimi, Morsal",57205700233,1,"Engineering
",
"Ermia Azari, M.",57214156541,1,"Physics and Astronomy
Chemistry
",
"Emadian, Seyedeh Sadrieh",57217127964,1,"Materials Science
Engineering
Physics and Astronomy
",
"Ashgar Ghoreyshi, Ali",56801079100,1,"Materials Science
Chemistry
",
"Ghotb, E. R.",54406858100,1,"Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Engineering
Agricultural and Biological Sciences
Medicine
",
"Parvizi Omran, Mojtaba",52364505800,1,"Engineering
Energy
Materials Science
",
"Ghasemzadeh, Fatemeh",57304442500,1,"Chemistry
",
"Rezaei, Sahar",57210721038,3,"Engineering
Agricultural and Biological Sciences
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
",
"Hosseini Karimi, S. S.",57194551043,1,"Environmental Science
",
"Behroozifar, Mahmoud",36125954800,16,"Mathematics
Engineering
Computer Science
Physics and Astronomy
Materials Science
Decision Sciences
",
"Omidi, Mohamad",57196981956,11,"Energy
Engineering
Physics and Astronomy
Chemistry
Computer Science
Materials Science
Chemical Engineering
Medicine
",
"Hamidian, Ramtin",57210108729,3,"Energy
Physics and Astronomy
Materials Science
Chemistry
Earth and Planetary Sciences
",
"Gorji, Reza Taghipour",57222319864,1,"Computer Science
Engineering
",
"Kiaei, Narges",57205194819,1,"Engineering
Materials Science
",
"Khodabakhshpour-Bariki, Samira",57226341960,1,"Engineering
",
"Mir Mohammad Sadeghi, S. A.",57207988429,2,"Computer Science
Engineering
Mathematics
Decision Sciences
",
"Alkasir, Ali",57223217247,2,"Engineering
Energy
",
"Saeedi, M.",57203125745,1,"Engineering
Materials Science
",
"Lashkariani, Marziye Ramezani",57225099199,1,"Mathematics
Engineering
",
"Rahimnejad, Mostafa",23971165200,138,"Energy
Chemistry
Chemical Engineering
Environmental Science
Biochemistry, Genetics and Molecular Biology
Engineering
Materials Science
Physics and Astronomy
Immunology and Microbiology
Agricultural and Biological Sciences
Medicine
Pharmacology, Toxicology and Pharmaceutics
Business, Management and Accounting
Multidisciplinary
Computer Science
Earth and Planetary Sciences
Mathematics
",
"Ranjbar Noe, Abolfazl",57225883829,1,"Physics and Astronomy
",
"Modanlou, Shahram",57203590058,3,"Materials Science
Engineering
Physics and Astronomy
Mathematics
Computer Science
",
"Toopchi, Yashar",57215920658,4,"Engineering
Multidisciplinary
Mathematics
Computer Science
",
"Firuzian, S.",35800889500,1,"Multidisciplinary
",
"Beygi, Morteza Hosseinali A.",36558823900,23,"Engineering
Materials Science
Earth and Planetary Sciences
Environmental Science
Physics and Astronomy
Mathematics
",
"Kazemi-Navaee, Amir",57226336955,1,"Engineering
Physics and Astronomy
Materials Science
",
"Khaki-Davoudi, Sahar",57224568962,1,"Materials Science
Engineering
",
"Khodaparast, Aryorad",57206726252,5,"Engineering
Energy
Computer Science
Mathematics
Decision Sciences
",
"Sobati, A.",36198527300,2,"Engineering
Mathematics
Materials Science
Computer Science
",
"Charchian, Mojtaba",57189500876,1,"Computer Science
",
"Bidabadi, Masoud",57222604679,1,"Environmental Science
Energy
",
"Ranjber, A. A.",57196153641,1,"Engineering
Environmental Science
",
"Sohrabiasl, Iman",57193028054,2,"Energy
Chemical Engineering
Chemistry
Environmental Science
Biochemistry, Genetics and Molecular Biology
",
"Bagheri, H. Eivazi",57209395994,1,"Engineering
",
"Shams Nateri, M.",55887220900,2,"Engineering
",
"Davudi, Heranush",57225066640,1,"Engineering
Energy
",
"Sohrabi, Sina",57217299482,1,"Mathematics
",
"MiarNaimi, Hossein",26666187800,6,"Engineering
",
"Naderi, Shokoufeh",57212892191,1,"Computer Science
",
"Rezvani, Mohsen",57194137948,1,"Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Immunology and Microbiology
",
"Khorshidi, Hamid Reza",35770916600,3,"Materials Science
Chemistry
Chemical Engineering
Business, Management and Accounting
",
"Moradi, Bahareh",57196596445,1,"Computer Science
",
"Heidarzadeh, Mohammad Hossein",57209395989,1,"Environmental Science
Immunology and Microbiology
Medicine
",
"Fallah, K.",56310351600,3,"Mathematics
",
"Fazlollahtabar, Amin",57222589337,2,"Physics and Astronomy
Engineering
Chemical Engineering
Mathematics
Computer Science
",
"Sharepour, Farzad",57224469188,1,"Physics and Astronomy
Chemistry
Materials Science
",
"Naghavi, Fahime",57194479191,2,"Engineering
Earth and Planetary Sciences
Multidisciplinary
",
"Shahabi, Majid",6603156054,31,"Engineering
Energy
Environmental Science
Computer Science
Mathematics
",
"Hosseini, Zahra",57190622165,2,"Chemical Engineering
Energy
Chemistry
",
